Entity,Day,"COVID-19 doses (daily, 7-day average, per million people)"
United States,2020-12-14,14.19478
United States,2020-12-15,77.20022
United States,2020-12-16,207.77238
United States,2020-12-17,357.30118
United States,2020-12-18,532.4038
United States,2020-12-19,533.56476
United States,2020-12-20,502.1805
United States,2020-12-21,662.06964
United States,2020-12-22,830.7987
United States,2020-12-23,1005.7045
United States,2020-12-24,973.35596
United States,2020-12-25,802.6116
United States,2020-12-26,785.5963
United States,2020-12-27,781.2755
United States,2020-12-28,869.2935
United States,2020-12-29,985.51874
United States,2020-12-30,1098.7106
United States,2020-12-31,1194.4141
United States,2021-01-01,1246.7072
United States,2021-01-02,1299.1663
United States,2021-01-03,1317.7922
United States,2021-01-04,1346.3094
United States,2021-01-05,1393.0076
United States,2021-01-06,1469.0033
United States,2021-01-07,1783.1373
United States,2021-01-08,2246.1235
United States,2021-01-09,2348.0498
United States,2021-01-10,2394.7673
United States,2021-01-11,2567.701
United States,2021-01-12,2745.531
United States,2021-01-13,2872.7932
United States,2021-01-14,2934.7114
United States,2021-01-15,2944.6865
United States,2021-01-16,3002.892
United States,2021-01-17,3023.5652
United States,2021-01-18,2945.2043
United States,2021-01-19,2981.9624
United States,2021-01-20,3099.2415
United States,2021-01-21,3233.8818
United States,2021-01-22,3392.1099
United States,2021-01-23,3501.5293
United States,2021-01-24,3543.925
United States,2021-01-25,3750.1516
United States,2021-01-26,3882.773
United States,2021-01-27,4017.8313
United States,2021-01-28,4152.875
United States,2021-01-29,4269.261
United States,2021-01-30,4314.752
United States,2021-01-31,4339.8164
United States,2021-02-01,4353.9854
United States,2021-02-02,4371.5293
United States,2021-02-03,4461.773
United States,2021-02-04,4623.435
United States,2021-02-05,4808.633
United States,2021-02-06,4927.8916
United States,2021-02-07,4919.401
United States,2021-02-08,4989.84
United States,2021-02-09,5102.416
United States,2021-02-10,5171.1816
United States,2021-02-11,5198.133
United States,2021-02-12,5297.3843
United States,2021-02-13,5369.018
United States,2021-02-14,5430.8804
United States,2021-02-15,5268.5137
United States,2021-02-16,5119.79
United States,2021-02-17,4976.001
United States,2021-02-18,4742.5405
United States,2021-02-19,4477.508
United States,2021-02-20,4407.628
United States,2021-02-21,4411.9507
United States,2021-02-22,4525.3447
United States,2021-02-23,4659.234
United States,2021-02-24,4894.055
United States,2021-02-25,5347.1157
United States,2021-02-26,5828.355
United States,2021-02-27,6114.781
United States,2021-02-28,6221.4116
United States,2021-03-01,6484.013
United States,2021-03-02,6704.89
United States,2021-03-03,6864.1206
United States,2021-03-04,6974.404
United States,2021-03-05,7024.5796
United States,2021-03-06,7054.892
United States,2021-03-07,7087.08
United States,2021-03-08,7119.009
United States,2021-03-09,7223.3545
United States,2021-03-10,7319.2026
United States,2021-03-11,7427.4307
United States,2021-03-12,7515.724
United States,2021-03-13,7571.524
United States,2021-03-14,7593.394
United States,2021-03-15,7638.6704
United States,2021-03-16,7709.673
United States,2021-03-17,7722.6064
United States,2021-03-18,7694.7456
United States,2021-03-19,7639.227
United States,2021-03-20,7623.9487
United States,2021-03-21,7641.526
United States,2021-03-22,7672.6577
United States,2021-03-23,7742.085
United States,2021-03-24,7899.893
United States,2021-03-25,8076.564
United States,2021-03-26,8282.64
United States,2021-03-27,8412.502
United States,2021-03-28,8489.456
United States,2021-03-29,8689.075
United States,2021-03-30,8912.143
United States,2021-03-31,9171.001
United States,2021-04-01,9487.719
United States,2021-04-02,9418.07
United States,2021-04-03,9347.711
United States,2021-04-04,9160.907
United States,2021-04-05,9273.504
United States,2021-04-06,9433.287
United States,2021-04-07,9511.851
United States,2021-04-08,9479.146
United States,2021-04-09,9759.372
United States,2021-04-10,10004.984
United States,2021-04-11,10271.675
United States,2021-04-12,10239.648
United States,2021-04-13,10034.847
United States,2021-04-14,9762.332
United States,2021-04-15,9451.588
United States,2021-04-16,9158.448
United States,2021-04-17,8938.988
United States,2021-04-18,8827.65
United States,2021-04-19,8645.926
United States,2021-04-20,8543.134
United States,2021-04-21,8452.373
United States,2021-04-22,8347.625
United States,2021-04-23,8220.75
United States,2021-04-24,8156.308
United States,2021-04-25,8097.575
United States,2021-04-26,8017.6514
United States,2021-04-27,7877.4497
United States,2021-04-28,7712.771
United States,2021-04-29,7525.7627
United States,2021-04-30,7363.9873
United States,2021-05-01,7220.452
United States,2021-05-02,7172.896
United States,2021-05-03,6993.819
United States,2021-05-04,6829.3877
United States,2021-05-05,6605.908
United States,2021-05-06,6385.223
United States,2021-05-07,6216.856
United States,2021-05-08,6078.9756
United States,2021-05-09,5968.043
United States,2021-05-10,5817.1953
United States,2021-05-11,5627.3813
United States,2021-05-12,5402.753
United States,2021-05-13,5299.98
United States,2021-05-14,5275.911
United States,2021-05-15,5407.375
United States,2021-05-16,5541.4814
United States,2021-05-17,5633.4414
United States,2021-05-18,5644.338
United States,2021-05-19,5674.0825
United States,2021-05-20,5565.184
United States,2021-05-21,5400.853
United States,2021-05-22,5232.611
United States,2021-05-23,5116.591
United States,2021-05-24,4905.9526
United States,2021-05-25,4639.517
United States,2021-05-26,4366.4854
United States,2021-05-27,4085.5356
United States,2021-05-28,3780.0227
United States,2021-05-29,3493.7441
United States,2021-05-30,3379.3867
United States,2021-05-31,2909.1548
United States,2021-06-01,2842.967
United States,2021-06-02,2709.5415
United States,2021-06-03,2667.4412
United States,2021-06-04,2698.5173
United States,2021-06-05,2827.7454
United States,2021-06-06,2883.6365
United States,2021-06-07,3250.3877
United States,2021-06-08,3206.364
United States,2021-06-09,3226.4246
United States,2021-06-10,3192.9211
United States,2021-06-11,3119.4983
United States,2021-06-12,3043.7961
United States,2021-06-13,2991.48
United States,2021-06-14,2924.0193
United States,2021-06-15,2841.2983
United States,2021-06-16,2747.8933
United States,2021-06-17,2631.8994
United States,2021-06-18,2501.1624
United States,2021-06-19,2366.679
United States,2021-06-20,2317.6208
United States,2021-06-21,2169.4038
United States,2021-06-22,2075.1956
United States,2021-06-23,1987.2014
United States,2021-06-24,1905.1594
United States,2021-06-25,1839.4722
United States,2021-06-26,1807.7656
United States,2021-06-27,1803.7439
United States,2021-06-28,1800.4069
United States,2021-06-29,1746.2645
United States,2021-06-30,1702.7107
United States,2021-07-01,1666.7603
United States,2021-07-02,1605.0542
United States,2021-07-03,1545.2689
United States,2021-07-04,1454.1396
United States,2021-07-05,1387.7773
United States,2021-07-06,1369.5516
United States,2021-07-07,1343.3589
United States,2021-07-08,1322.5226
United States,2021-07-09,1327.0907
United States,2021-07-10,1345.3055
United States,2021-07-11,1414.961
United States,2021-07-12,1466.9734
United States,2021-07-13,1442.9758
United States,2021-07-14,1426.6989
United States,2021-07-15,1416.8767
United States,2021-07-16,1412.9784
United States,2021-07-17,1412.4454
United States,2021-07-18,1419.547
United States,2021-07-19,1438.7633
United States,2021-07-20,1470.0884
United States,2021-07-21,1511.0833
United States,2021-07-22,1556.9485
United States,2021-07-23,1608.1699
United States,2021-07-24,1634.1532
United States,2021-07-25,1644.9695
United States,2021-07-26,1677.0947
United States,2021-07-27,1718.8805
United States,2021-07-28,1756.8734
United States,2021-07-29,1786.2886
United States,2021-07-30,1825.4192
United States,2021-07-31,1849.0433
United States,2021-08-01,1882.2415
United States,2021-08-02,1915.5499
United States,2021-08-03,1942.0643
United States,2021-08-04,1967.034
United States,2021-08-05,1998.3812
United States,2021-08-06,2029.5403
United States,2021-08-07,2047.9568
United States,2021-08-08,2053.895
United States,2021-08-09,2080.57
United States,2021-08-10,2096.8462
United States,2021-08-11,2093.595
United States,2021-08-12,2098.4558
United States,2021-08-13,2114.8625
United States,2021-08-14,2142.723
United States,2021-08-15,2163.35
United States,2021-08-16,2199.924
United States,2021-08-17,2252.0063
United States,2021-08-18,2329.367
United States,2021-08-19,2388.6724
United States,2021-08-20,2456.1174
United States,2021-08-21,2474.0674
United States,2021-08-22,2470.265
United States,2021-08-23,2490.759
United States,2021-08-24,2501.2507
United States,2021-08-25,2506.4666
United States,2021-08-26,2524.7656
United States,2021-08-27,2550.496
United States,2021-08-28,2568.8086
United States,2021-08-29,2585.2234
United States,2021-08-30,2590.453
United States,2021-08-31,2585.4543
United States,2021-09-01,2577.1665
United States,2021-09-02,2537.0396
United States,2021-09-03,2481.604
United States,2021-09-04,2416.8843
United States,2021-09-05,2389.4033
United States,2021-09-06,2071.362
United States,2021-09-07,2059.8096
United States,2021-09-08,2017.444
United States,2021-09-09,1998.5369
United States,2021-09-10,1997.6133
United States,2021-09-11,2015.2346
United States,2021-09-12,2009.7339
United States,2021-09-13,2264.4333
